city,city_ascii,lat,lng,country
Tokyo,Tokyo,35.6897,139.6922,Japan
Jakarta,Jakarta,-6.175,106.8275,Indonesia
Delhi,Delhi,28.61,77.23,India
Guangzhou,Guangzhou,23.13,113.26,China
Mumbai,Mumbai,19.0761,72.8775,India
Manila,Manila,14.5958,120.9772,Philippines
Shanghai,Shanghai,31.1667,121.4667,China
São Paulo,Sao Paulo,-23.55,-46.6333,Brazil
Seoul,Seoul,37.56,126.99,South Korea
Mexico City,Mexico City,19.4333,-99.1333,Mexico
Cairo,Cairo,30.0444,31.2358,Egypt
New York,New York,40.6943,-73.9249,United States
Dhaka,Dhaka,23.7639,90.3889,Bangladesh
Beijing,Beijing,39.904,116.4075,China
Kolkāta,Kolkata,22.5675,88.37,India
Bangkok,Bangkok,13.7525,100.4942,Thailand
Shenzhen,Shenzhen,22.535,114.054,China
Moscow,Moscow,55.7558,37.6178,Russia
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina
Lagos,Lagos,6.455,3.3841,Nigeria
Istanbul,Istanbul,41.0136,28.955,Turkey
Karachi,Karachi,24.86,67.01,Pakistan
Bangalore,Bangalore,12.9789,77.5917,India
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,Vietnam
Ōsaka,Osaka,34.6939,135.5022,Japan
Chengdu,Chengdu,30.66,104.0633,China
Tehran,Tehran,35.6892,51.3889,Iran
Kinshasa,Kinshasa,-4.325,15.3222,Congo (Kinshasa)
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,Brazil
Chennai,Chennai,13.0825,80.275,India
Xi’an,Xi'an,34.2667,108.9,China
Lahore,Lahore,31.5497,74.3436,Pakistan
Chongqing,Chongqing,29.55,106.5069,China
Los Angeles,Los Angeles,34.1141,-118.4068,United States
Baoding,Baoding,38.8671,115.4845,China
London,London,51.5072,-0.1275,United Kingdom
Paris,Paris,48.8567,2.3522,France
Linyi,Linyi,35.1041,118.3502,China
Dongguan,Dongguan,23.0475,113.7493,China
Hyderābād,Hyderabad,17.385,78.4867,India
Tianjin,Tianjin,39.1467,117.2056,China
Lima,Lima,-12.06,-77.0375,Peru
Wuhan,Wuhan,30.5872,114.2881,China
Nanyang,Nanyang,32.9987,112.5292,China
Hangzhou,Hangzhou,30.25,120.1675,China
Foshan,Foshan,23.0292,113.1056,China
Nagoya,Nagoya,35.1833,136.9,Japan
Taipei,Taipei,25.0375,121.5625,Taiwan
Tongshan,Tongshan,34.261,117.1859,China
Luanda,Luanda,-8.8383,13.2344,Angola
Zhoukou,Zhoukou,33.625,114.6418,China
Ganzhou,Ganzhou,25.8292,114.9336,China
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia
Heze,Heze,35.2333,115.4333,China
Quanzhou,Quanzhou,24.9139,118.5858,China
Chicago,Chicago,41.8375,-87.6866,United States
Nanjing,Nanjing,32.0608,118.7789,China
Jining,Jining,35.4,116.5667,China
Hanoi,Hanoi,21.0283,105.8542,Vietnam
Pune,Pune,18.5203,73.8567,India
Fuyang,Fuyang,32.8986,115.8045,China
Ahmedabad,Ahmedabad,23.03,72.58,India
Johannesburg,Johannesburg,-26.2044,28.0456,South Africa
Bogotá,Bogota,4.7111,-74.0722,Colombia
Dar es Salaam,Dar es Salaam,-6.8161,39.2803,Tanzania
Shenyang,Shenyang,41.8025,123.4281,China
Khartoum,Khartoum,15.5006,32.56,Sudan
Shangqiu,Shangqiu,34.4259,115.6467,China
Cangzhou,Cangzhou,38.3037,116.8452,China
Hong Kong,Hong Kong,22.3,114.2,Hong Kong
Shaoyang,Shaoyang,27.2418,111.4725,China
Zhanjiang,Zhanjiang,21.1967,110.4031,China
Yancheng,Yancheng,33.3936,120.1339,China
Hengyang,Hengyang,26.8968,112.5857,China
Riyadh,Riyadh,24.6333,46.7167,Saudi Arabia
Zhumadian,Zhumadian,32.9773,114.0253,China
Santiago,Santiago,-33.4372,-70.6506,Chile
Xingtai,Xingtai,37.0659,114.4753,China
Chattogram,Chattogram,22.335,91.8325,Bangladesh
Bijie,Bijie,27.3019,105.2863,China
Shangrao,Shangrao,28.4419,117.9633,China
Zunyi,Zunyi,27.705,106.9336,China
Sūrat,Surat,21.1702,72.8311,India
Surabaya,Surabaya,-7.2458,112.7378,Indonesia
Huanggang,Huanggang,30.45,114.875,China
Maoming,Maoming,21.6618,110.9178,China
Nanchong,Nanchong,30.7991,106.0784,China
Xinyang,Xinyang,32.1264,114.0672,China
Madrid,Madrid,40.4169,-3.7033,Spain
Baghdad,Baghdad,33.3153,44.3661,Iraq
Qujing,Qujing,25.5102,103.8029,China
Jieyang,Jieyang,23.5533,116.3649,China
Singapore,Singapore,1.3,103.8,Singapore
Prayagraj,Prayagraj,25.4358,81.8464,India
Liaocheng,Liaocheng,36.45,115.9833,China
Dalian,Dalian,38.9,121.6,China
Yulin,Yulin,22.6293,110.1507,China
Changde,Changde,29.0397,111.6839,China
Qingdao,Qingdao,36.1167,120.4,China
Douala,Douala,4.05,9.7,Cameroon
Miami,Miami,25.784,-80.2101,United States
Nangandao,Nangandao,35.2992,113.8851,China
Pudong,Pudong,31.2231,121.5397,China
Xiangyang,Xiangyang,32.0654,112.1531,China
Dallas,Dallas,32.7935,-96.7667,United States
Houston,Houston,29.786,-95.3885,United States
Zhengzhou,Zhengzhou,34.7492,113.6605,China
Lu’an,Lu'an,31.7542,116.5078,China
Dezhou,Dezhou,37.4513,116.3105,China
Jinan,Jinan,36.6667,116.9833,China
Giza,Giza,29.987,31.2118,Egypt
Zhaotong,Zhaotong,27.3328,103.7144,China
Yichun,Yichun,27.8041,114.383,China
Nairobi,Nairobi,-1.2864,36.8172,Kenya
Guadalajara,Guadalajara,20.6767,-103.3475,Mexico
Philadelphia,Philadelphia,40.0077,-75.1339,United States
Ankara,Ankara,39.93,32.85,Turkey
Tai’an,Tai'an,36.2001,117.0809,China
Dazhou,Dazhou,31.2152,107.4947,China
Langfang,Langfang,39.5196,116.7006,China
Yongzhou,Yongzhou,26.4515,111.5953,China
Toronto,Toronto,43.7417,-79.3733,Canada
Suihua,Suihua,46.6384,126.9808,China
Saint Petersburg,Saint Petersburg,59.95,30.3167,Russia
Qiqihar,Qiqihar,47.3398,123.9512,China
Suzhou,Suzhou,33.6333,116.9683,China
Monterrey,Monterrey,25.6667,-100.3,Mexico
Belo Horizonte,Belo Horizonte,-19.9167,-43.9333,Brazil
Weinan,Weinan,34.4996,109.4684,China
Rangoon,Rangoon,16.795,96.16,Myanmar
Zhangzhou,Zhangzhou,24.5093,117.6612,China
Yuncheng,Yuncheng,35.0304,110.998,China
Xianyang,Xianyang,34.35,108.7167,China
Guilin,Guilin,25.2819,110.2864,China
Atlanta,Atlanta,33.7628,-84.422,United States
Taizhou,Taizhou,32.4831,119.9,China
Kāshān,Kashan,33.9833,51.4333,Iran
Bozhou,Bozhou,33.8626,115.7742,China
Abidjan,Abidjan,5.3167,-4.0333,Côte d'Ivoire
Suqian,Suqian,33.9331,118.2831,China
Huaihua,Huaihua,27.5494,109.9592,China
Ji’an,Ji'an,27.1172,114.9793,China
Xiaoganzhan,Xiaoganzhan,30.9273,113.911,China
Pingdingshan,Pingdingshan,33.735,113.2999,China
Jiujiang,Jiujiang,29.7048,116.0021,China
Alexandria,Alexandria,31.1975,29.8925,Egypt
Mianyang,Mianyang,31.4669,104.7385,China
Sydney,Sydney,-33.8678,151.21,Australia
Huanglongsi,Huanglongsi,34.795,114.345,China
Washington,Washington,38.9047,-77.0163,United States
Barcelona,Barcelona,41.3825,2.1769,Spain
Changsha,Changsha,28.1987,112.9709,China
Chenzhou,Chenzhou,25.7989,113.0267,China
Anqing,Anqing,30.5,117.0333,China
Jiangmen,Jiangmen,22.5833,113.0833,China
Xinpu,Xinpu,34.5906,119.1801,China
Yibin,Yibin,28.7596,104.64,China
Yangzhou,Yangzhou,32.3912,119.4363,China
Melbourne,Melbourne,-37.8142,144.9631,Australia
Berlin,Berlin,52.52,13.405,Germany
Hengshui,Hengshui,37.7348,115.686,China
Timbío,Timbio,2.3445,-76.6839,Colombia
Kunming,Kunming,25.0433,102.7061,China
Yiyang,Yiyang,28.5833,112.3333,China
Guigang,Guigang,23.0961,109.6092,China
Changchun,Changchun,43.9,125.2,China
Jiangguanchi,Jiangguanchi,34.0244,113.8201,China
Casablanca,Casablanca,33.5333,-7.5833,Morocco
Meizhou,Meizhou,24.2998,116.1191,China
Zhangjiakou,Zhangjiakou,40.8108,114.8811,China
Chifeng,Chifeng,42.2663,118.9223,China
Ürümqi,Urumqi,43.8225,87.6125,China
Suzhou,Suzhou,31.3,120.6194,China
İzmir,Izmir,38.42,27.14,Turkey
Linfen,Linfen,36.0812,111.5087,China
Shantou,Shantou,23.3735,116.6941,China
Kabul,Kabul,34.5253,69.1783,Afghanistan
Mogadishu,Mogadishu,2.0392,45.3419,Somalia
Luzhou,Luzhou,28.8918,105.4409,China
Hefei,Hefei,31.8639,117.2808,China
Boston,Boston,42.3188,-71.0852,United States
Liuzhou,Liuzhou,24.3264,109.4281,China
Zhaoqing,Zhaoqing,23.05,112.4667,China
Xiaoxita,Xiaoxita,30.7083,111.2803,China
Shijiazhuang,Shijiazhuang,38.0422,114.5086,China
Ningbo,Ningbo,29.875,121.5492,China
Fuzhou,Fuzhou,27.9814,116.3577,China
Phoenix,Phoenix,33.5722,-112.0892,United States
Zhuzhou,Zhuzhou,27.8407,113.1469,China
Amman,Amman,31.9497,35.9328,Jordan
Chuzhou,Chuzhou,32.3062,118.3115,China
Jeddah,Jeddah,21.5433,39.1728,Saudi Arabia
Qingyuan,Qingyuan,23.6842,113.0507,China
Loudi,Loudi,27.7378,111.9974,China
Binzhou,Binzhou,37.3806,118.0125,China
Deyang,Deyang,31.1289,104.395,China
Taiyuan,Taiyuan,37.8733,112.5425,China
Kano,Kano,12,8.5167,Nigeria
Wuhu,Wuhu,31.334,118.3622,China
Nanning,Nanning,22.8192,108.315,China
Harbin,Harbin,45.75,126.6333,China
Abuja,Abuja,9.0667,7.4833,Nigeria
Yokohama,Yokohama,35.4442,139.6381,Japan
Baojishi,Baojishi,34.3609,107.1751,China
Zaozhuang,Zaozhuang,34.8667,117.55,China
Xiamen,Xiamen,24.4797,118.0819,China
Neijiang,Neijiang,29.5872,105.0635,China
Fuzhou,Fuzhou,26.0769,119.2917,China
Baicheng,Baicheng,23.901,106.6194,China
Anshan,Anshan,41.1066,122.9895,China
Medan,Medan,3.5894,98.6739,Indonesia
Yulinshi,Yulinshi,38.2655,109.7388,China
Wenzhou,Wenzhou,27.9991,120.6561,China
Changzhou,Changzhou,31.8122,119.9692,China
Puyang,Puyang,35.7639,115.03,China
Jiaozuo,Jiaozuo,35.229,113.2304,China
Nanchang,Nanchang,28.6842,115.8872,China
Ibadan,Ibadan,7.3964,3.9167,Nigeria
Hechi,Hechi,24.6928,108.085,China
Detroit,Detroit,42.3834,-83.1024,United States
Montréal,Montreal,45.5089,-73.5617,Canada
Busan,Busan,35.18,129.075,South Korea
Hohhot,Hohhot,40.8151,111.6629,China
Seattle,Seattle,47.6211,-122.3244,United States
Algiers,Algiers,36.7539,3.0589,Algeria
Hanzhong,Hanzhong,33.0794,107.026,China
Tangshan,Tangshan,39.6292,118.1742,China
Shiyan,Shiyan,32.6351,110.7755,China
Lucknow,Lucknow,26.85,80.95,India
Siping,Siping,43.1715,124.3644,China
Mashhad,Mashhad,36.3,59.6,Iran
Boankra,Boankra,6.6944,-1.4028,Ghana
Changzhi,Changzhi,36.1953,113.097,China
Dubai,Dubai,25.2631,55.2972,United Arab Emirates
Qinzhou,Qinzhou,21.95,108.6167,China
Guiyang,Guiyang,26.5794,106.7078,China
Bengbu,Bengbu,32.9354,117.3531,China
San Francisco,San Francisco,37.7558,-122.4449,United States
Bazhou,Bazhou,31.8576,106.7559,China
Qincheng,Qincheng,34.5809,105.7311,China
Suining,Suining,30.5098,105.5737,China
Wuxi,Wuxi,31.5667,120.2833,China
Leshan,Leshan,29.5854,103.7575,China
Putian,Putian,25.4394,119.0103,China
Zhenjiang,Zhenjiang,32.2109,119.4551,China
Faisalabad,Faisalabad,31.4167,73.0911,Pakistan
Guang’an,Guang'an,30.4673,106.6336,China
Tongren,Tongren,27.7233,109.1885,China
Santa Cruz,Santa Cruz,-17.7892,-63.1975,Bolivia
Qinhuangdao,Qinhuangdao,39.9398,119.5881,China
Tongliao,Tongliao,43.6172,122.264,China
Jinzhou,Jinzhou,41.1144,121.1292,China
Heyuan,Heyuan,23.7503,114.6923,China
San Diego,San Diego,32.8313,-117.1222,United States
Jaipur,Jaipur,26.9,75.8,India
Xinzhou,Xinzhou,38.4178,112.7233,China
Lanzhou,Lanzhou,36.0617,103.8318,China
Wuzhou,Wuzhou,23.4833,111.3167,China
Athens,Athens,37.9842,23.7281,Greece
Addis Ababa,Addis Ababa,9.03,38.74,Ethiopia
Chaoyang,Chaoyang,41.5757,120.4486,China
Brasília,Brasilia,-15.7939,-47.8828,Brazil
Taichung,Taichung,24.1439,120.6794,Taiwan
Kuwait City,Kuwait City,29.3697,47.9783,Kuwait
Budapest,Budapest,47.4925,19.0514,Hungary
Shaoguan,Shaoguan,24.8011,113.5927,China
Shanwei,Shanwei,22.7664,115.3331,China
Quezon City,Quezon City,14.63,121.03,Philippines
Rizhao,Rizhao,35.4164,119.4331,China
Kyiv,Kyiv,50.45,30.5233,Ukraine
Sanaa,Sanaa,15.3483,44.2064,Yemen
Meishan,Meishan,30.0575,103.8381,China
Incheon,Incheon,37.4833,126.6333,South Korea
Guatemala City,Guatemala City,14.6099,-90.5252,Guatemala
Birmingham,Birmingham,52.48,-1.9025,United Kingdom
Zhongshan,Zhongshan,22.5333,113.35,China
